"author","coauthors"
"Dominique Makowski","Mattan S. Ben-Shachar"
"Dominique Makowski","Indrajeet Patil"
"Dominique Makowski","Daniel Lüdecke"
"Dominique Makowski","Philip D. Waggoner"
"Dominique Makowski","Pascale Piolino"
"Dominique Makowski","Marco Sperduti"
"Dominique Makowski","Lau Zen Juen"
"Dominique Makowski","Tam Pham"
"Dominique Makowski","Sh Annabel Chen"
"Dominique Makowski","Serge Nicolas"
"Dominique Makowski","Philippe Blondé"
"Dominique Makowski","François Lespinasse"
"Dominique Makowski","Tiziana Zalla"
"Dominique Makowski","Stephane Lemaire"
"Dominique Makowski","Hung Pham"
"Dominique Makowski","Prany Wantzen"
"Dominique Makowski","Brenton M. Wiernik"
"Dominique Makowski","Léo Dutriaux"
"Dominique Makowski","Giuseppe Riva"
"Dominique Makowski","Silvia Serino"
"Mattan S. Ben-Shachar","Dominique Makowski"
"Mattan S. Ben-Shachar","Daniel Lüdecke"
"Mattan S. Ben-Shachar","Indrajeet Patil"
"Mattan S. Ben-Shachar","Andrea Berger"
"Mattan S. Ben-Shachar","Michael Shmueli"
"Mattan S. Ben-Shachar","Brenton M. Wiernik"
"Mattan S. Ben-Shachar","Dmitri Lavro"
"Mattan S. Ben-Shachar","Minna Hannula-Sormunen"
"Mattan S. Ben-Shachar","Shachar Hochman"
"Mattan S. Ben-Shachar","Tzlil Einziger"
"Mattan S. Ben-Shachar","Nachshon Meiran"
"Mattan S. Ben-Shachar","Henrik Singmann"
"Indrajeet Patil","Dominique Makowski"
"Indrajeet Patil","Philip D. Waggoner"
"Indrajeet Patil","Mattan S. Ben-Shachar"
"Indrajeet Patil","Daniel Lüdecke"
"Indrajeet Patil","Giorgia Silani"
"Indrajeet Patil","Nicola Zangrando"
"Indrajeet Patil","Fiery Cushman"
"Indrajeet Patil","Luca Chittaro"
"Indrajeet Patil","Carlotta Cogoni"
"Indrajeet Patil","Brenton M. Wiernik"
"Indrajeet Patil","Liane Young"
"Indrajeet Patil","Giovanni Novembre"
"Indrajeet Patil","Constantin Ahlmann-Eltze"
"Indrajeet Patil","Ezequiel Gleichgerrcht"
"Indrajeet Patil","Wouter Kool"
"Indrajeet Patil","Mina Cikara"
"Indrajeet Patil","Stephanie Campbell"
"Indrajeet Patil","Micaela Maria Zucchelli"
"Indrajeet Patil","Marco Zanon"
"Indrajeet Patil","Bastien Trémolière"
"Daniel Lüdecke","Dominique Makowski"
"Daniel Lüdecke","Mattan S. Ben-Shachar"
"Daniel Lüdecke","Philip D. Waggoner"
"Daniel Lüdecke","Sh Annabel Chen"
"Daniel Lüdecke","Mirko Di Rosa"
"Daniel Lüdecke","Giovanni Lamura"
"Daniel Lüdecke","Bernd Löwe"
"Daniel Lüdecke","Maria Gabriella Melchiorre"
"Philip D. Waggoner","Dominique Makowski"
"Philip D. Waggoner","Indrajeet Patil"
"Philip D. Waggoner","Daniel Lüdecke"
"Philip D. Waggoner","Mattan S. Ben-Shachar"
"Philip D. Waggoner","Ryan Kennedy"
"Philip D. Waggoner","Scott Clifford"
"Philip D. Waggoner","Tyler Burleigh"
